date,total_pilgrims,band,band_name
2024-04-12,63163,2,MODERATE
2024-04-13,82139,4,HEAVY
2024-04-14,81057,4,HEAVY
2024-04-15,77511,3,BUSY
2024-04-16,67294,2,MODERATE
2024-04-17,58690,1,LIGHT
2024-04-18,55537,1,LIGHT
2024-04-19,60517,2,MODERATE
2024-04-20,73051,3,BUSY
2024-04-21,77366,3,BUSY
2024-04-22,62894,2,MODERATE
2024-04-23,60371,2,MODERATE
2024-04-24,64080,2,MODERATE
2024-04-25,61492,2,MODERATE
2024-04-26,57909,1,LIGHT
2024-04-27,81212,4,HEAVY
2024-04-28,86241,4,HEAVY
2024-04-29,77673,3,BUSY
2024-04-30,72310,3,BUSY
2024-05-01,72510,3,BUSY
2024-05-02,65313,2,MODERATE
2024-05-03,62624,2,MODERATE
2024-05-04,77848,3,BUSY
2024-05-05,81927,4,HEAVY
2024-05-06,76748,3,BUSY
2024-05-07,65146,2,MODERATE
2024-05-08,64766,2,MODERATE
2024-05-09,65508,2,MODERATE
2024-05-10,60545,2,MODERATE
2024-05-11,76945,3,BUSY
2024-05-12,80001,4,HEAVY
2024-05-13,70815,3,BUSY
2024-05-14,75783,3,BUSY
2024-05-15,81930,4,HEAVY
2024-05-16,76369,3,BUSY
2024-05-17,71510,3,BUSY
2024-05-18,90721,5,EXTREME
2024-05-19,86721,4,HEAVY
2024-05-20,85825,4,HEAVY
2024-05-21,80744,4,HEAVY
2024-05-22,80048,4,HEAVY
2024-05-23,65416,2,MODERATE
2024-05-24,70668,3,BUSY
2024-05-25,83866,4,HEAVY
2024-05-26,89161,4,HEAVY
2024-05-27,81831,4,HEAVY
2024-05-28,76381,3,BUSY
2024-05-29,73811,3,BUSY
2024-05-30,64115,2,MODERATE
2024-05-31,67873,2,MODERATE
2024-06-01,78686,3,BUSY
2024-06-02,83740,4,HEAVY
2024-06-03,76362,3,BUSY
2024-06-04,76291,3,BUSY
2024-06-05,67320,2,MODERATE
2024-06-06,62161,2,MODERATE
2024-06-07,63830,2,MODERATE
2024-06-08,79398,3,BUSY
2024-06-09,81744,4,HEAVY
2024-06-10,78064,3,BUSY
2024-06-11,76665,3,BUSY
2024-06-12,75068,3,BUSY
2024-06-13,61499,2,MODERATE
2024-06-14,66782,2,MODERATE
2024-06-15,82886,4,HEAVY
