date,total_pilgrims
2015-08-26,57866
2015-08-28,58122
2015-08-30,85103
2015-08-31,75235
2015-09-01,69483
2015-09-02,71006
2015-09-03,70567
2015-09-04,65067
2015-09-05,82610
2015-09-06,86807
2015-09-08,60256
2015-09-09,65187
2015-09-10,67545
2015-09-11,64432
2015-09-12,80097
2015-09-13,75083
2015-09-14,52194
2015-09-15,55433
2015-09-16,43194
2015-09-17,57994
2015-09-18,70519
2015-09-19,88679
2015-09-20,70718
2015-09-21,61063
2015-09-22,66409
2015-09-23,63680
2015-09-24,54393
2015-09-25,65138
2015-09-26,83527
2015-09-27,85007
2015-09-28,80021
2015-09-29,84756
2015-09-30,78240
2015-10-01,81229
2015-10-02,74403
2015-10-03,100458
2015-10-04,87101
2015-10-05,66817
2015-10-06,67917
2015-10-07,66905
2015-10-08,64382
2015-10-09,62281
2015-10-10,71660
2015-10-11,77467
2015-10-14,77467
2015-10-15,75374
2015-10-16,70835
2015-10-17,84024
2015-10-19,80595
2015-10-20,60034
2015-10-21,61519
2015-10-22,56356
2015-10-23,70491
2015-10-24,85013
2015-10-25,82989
2015-10-26,77431
2015-10-27,72187
2015-10-28,53227
2015-10-29,53503
2015-10-30,59007
2015-10-31,73791
2015-11-01,68205
2015-11-02,56507
2015-11-03,58039
2015-11-04,47889
2015-11-05,49127
2015-11-06,49538
2015-11-07,72240
2015-11-08,63666
2015-11-09,49389
2015-11-10,58253
2015-11-11,48879
2015-11-12,56481
2015-11-13,65673
2015-11-14,74027
2015-11-15,72772
2015-11-16,57740
2015-11-17,33047
2015-11-18,45213
2015-11-19,42551
2015-11-20,44476
2015-11-21,59414
2015-11-23,56407
2015-11-24,51750
2015-11-25,44182
2015-11-26,46700
2015-11-27,53798
2015-11-28,66922
2015-11-29,62537
2015-11-30,54410
2015-12-01,45160
2015-12-02,47548
2015-12-03,41706
2015-12-04,43227
2015-12-05,59697
2015-12-06,62116
2015-12-07,57742
2015-12-08,52807
2015-12-09,53125
2015-12-10,51639
2015-12-11,56110
2015-12-12,70074
2015-12-13,79075
2015-12-14,60277
2015-12-15,56436
2015-12-16,54370
2015-12-17,69087
2015-12-18,53641
2015-12-19,71849
2015-12-20,62938
2015-12-21,83103
2015-12-22,80840
2015-12-23,61990
2015-12-24,67358
2015-12-25,62431
2015-12-26,87207
2015-12-27,85572
2015-12-28,77477
2015-12-29,70047
2015-12-30,60769
2015-12-31,63565
2016-01-03,70837
2016-01-04,62377
2016-01-05,63573
2016-01-06,53985
2016-01-07,53577
2016-01-08,54045
2016-01-09,77350
2016-01-10,69677
2016-01-11,58889
2016-01-12,59203
2016-01-13,50007
2016-01-15,65028
2016-01-16,89127
2016-01-17,90041
2016-01-18,69655
2016-01-19,67367
2016-01-20,62506
2016-01-21,56834
2016-01-22,58217
2016-01-23,75048
2016-01-24,79781
2016-01-25,76277
2016-01-26,75609
2016-01-27,55692
2016-01-28,53512
2016-01-29,56260
2016-01-30,75554
2016-01-31,69070
2016-02-01,54794
2016-02-02,56989
2016-02-03,51257
2016-02-04,54026
2016-02-05,54450
2016-02-06,77490
2016-02-07,73056
2016-02-08,54574
2016-02-09,53437
2016-02-10,60399
2016-02-11,59602
2016-02-12,62857
2016-02-13,76015
2016-02-14,100659
2016-02-15,70947
2016-02-16,64410
2016-02-17,62310
2016-02-18,58657
2016-02-19,62676
2016-02-20,81157
2016-02-21,81477
2016-02-22,68310
2016-02-23,58651
2016-02-24,54817
2016-02-25,57654
2016-02-26,59854
2016-02-27,81287
2016-02-28,82078
2016-02-29,65211
2016-03-01,60814
2016-03-02,56392
2016-03-03,53966
2016-03-04,59097
2016-03-05,76753
2016-03-06,80922
2016-03-07,65599
2016-03-08,41695
2016-03-09,38442
2016-03-10,51175
2016-03-11,61083
2016-03-12,75339
2016-03-13,84507
2016-03-14,70010
2016-03-15,59189
2016-03-16,56197
2016-03-17,59086
2016-03-18,60431
2016-03-19,56197
2016-03-20,80715
2016-03-21,66656
2016-03-22,68607
2016-03-23,63187
2016-03-24,69046
2016-03-25,62577
2016-03-26,82041
2016-03-28,68054
2016-03-29,65815
2016-04-01,57133
2016-04-02,76931
2016-04-03,78143
2016-04-04,69044
2016-04-05,60796
2016-04-06,57657
2016-04-07,52894
2016-04-08,58545
2016-04-09,73137
2016-04-10,82436
2016-04-11,66692
2016-04-12,62287
2016-04-13,64386
2016-04-14,70520
2016-04-15,71357
2016-04-16,77619
2016-04-17,79646
2016-04-18,62407
2016-04-19,65600
2016-04-20,56069
2016-04-21,60804
2016-04-22,66493
2016-04-23,77428
2016-04-24,79424
2016-04-25,70269
2016-04-26,68363
2016-04-27,62997
2016-04-28,66658
2016-04-29,68418
2016-04-30,82347
2016-05-01,84128
2016-05-02,84128
2016-05-03,72087
2016-05-04,72067
2016-05-05,72279
2016-05-06,70969
2016-05-07,81097
2016-05-08,81417
2016-05-09,76757
2016-05-10,75277
2016-05-11,71185
2016-05-12,71995
2016-05-13,74350
2016-05-14,74350
2016-05-15,89027
2016-05-16,83001
2016-05-17,78090
2016-05-18,78090
2016-05-19,73285
2016-05-21,88077
2016-05-22,87023
2016-05-23,85365
2016-05-24,82939
2016-05-25,81720
2016-05-26,83116
2016-05-27,83567
2016-05-28,64405
2016-05-29,103384
2016-05-30,89307
2016-05-31,84746
2016-06-01,77237
2016-06-02,78077
2016-06-03,80448
2016-06-04,101015
2016-06-05,100080
2016-06-06,82347
2016-06-07,74634
